k,weight,metric,accuracy,precision,recall,f1,specificity
2,uniform,chebyshev,0.9104010025062657,0.9505592835004599,0.9047619047619048,0.9264022291880236,0.92012987012987
2,uniform,cosine,0.9016290726817043,0.9462113756231403,0.8969047619047619,0.9190195604474937,0.9103896103896105
2,uniform,canberra,0.9332393483709274,0.9848037983521856,0.9073809523809524,0.9439958516490771,0.9764069264069264
2,uniform,braycurtis,0.9208646616541353,0.9512609874469458,0.9213492063492064,0.9356423172141783,0.9201298701298702
2,uniform,correlation,0.899874686716792,0.9475859434682965,0.8912698412698413,0.9169897884231167,0.9149350649350649
2,distance,euclidean,0.9156954887218045,0.9188857349848062,0.9495238095238095,0.9336458021649996,0.8588744588744589
2,distance,manhattan,0.9279761904761903,0.9274933384376108,0.9605555555555556,0.9434187427199365,0.8729437229437229
2,distance,minkowski,0.9156954887218045,0.9188857349848062,0.9495238095238095,0.9336458021649996,0.8588744588744589
2,distance,chebyshev,0.9139097744360903,0.9233988455505484,0.9411111111111111,0.9317765451568268,0.8683982683982684
2,distance,cosine,0.9051065162907269,0.9186825953544219,0.9330158730158731,0.9250157484927846,0.8584415584415584
2,distance,canberra,0.9543233082706767,0.9674262655512657,0.9607936507936508,0.9633689602882074,0.9432900432900432
2,distance,braycurtis,0.926221804511278,0.9272799671716079,0.9577777777777777,0.9419748330568487,0.8729437229437229
2,distance,correlation,0.9033521303258146,0.9183452134380927,0.9302380952380952,0.923538271015307,0.8584415584415584
3,uniform,euclidean,0.9261904761904761,0.9284378118845386,0.9580158730158731,0.9421893144157336,0.8738095238095239
3,uniform,manhattan,0.9367481203007518,0.9370408334030624,0.9664285714285714,0.95063080402866,0.8878787878787879
3,uniform,minkowski,0.9261904761904761,0.9284378118845386,0.9580158730158731,0.9421893144157336,0.8738095238095239
3,uniform,chebyshev,0.9068609022556393,0.9194781929384644,0.9356349206349206,0.9264839129166175,0.8595238095238095
3,uniform,cosine,0.9191416040100251,0.9223975273782721,0.9525396825396826,0.9366007975346197,0.8629870129870131
3,uniform,canberra,0.9525689223057643,0.9618699197317617,0.9635714285714286,0.9621708451546137,0.9341991341991343
3,uniform,braycurtis,0.9402568922305765,0.9412075000697291,0.9664285714285714,0.9530550464529023,0.8969696969696971
3,uniform,correlation,0.9191416040100251,0.9222863520039388,0.9525396825396826,0.9366460540587495,0.8629870129870131
3,distance,euclidean,0.9296992481203008,0.9287521636694785,0.9635714285714286,0.9452054237778823,0.8738095238095239
3,distance,manhattan,0.9349937343358394,0.93448828085051,0.9664285714285714,0.9493370445157223,0.8831168831168832
